Analyzing trackyond...

  error - lib\features\owner\dashboard\data\models\team_status_result_model.dart:6:6 - Target of URI hasn't been generated: 'package:trackyond/features/owner/dashboard/data/models/team_status_result_model.g.dart'. Try running the generator that will generate the file referenced by the URI. - uri_has_not_been_generated
  error - lib\features\owner\dashboard\data\models\team_status_result_model.dart:21:12 - The method '_$TeamStatusResultModelFromJson' isn't defined for the type 'TeamStatusResultModel'. Try correcting the name to the name of an existing method, or defining a method named '_$TeamStatusResultModelFromJson'. - undefined_method
  error - lib\features\owner\team_status\presentation\screens\team_member_attendance_page.dart:173:68 - The method 'toStringAsFixed' isn't defined for the type 'String'. Try correcting the name to the name of an existing method, or defining a method named 'toStringAsFixed'. - undefined_method
  error - lib\features\owner\team_status\presentation\screens\team_member_profile_page.dart:283:54 - The method 'toStringAsFixed' isn't defined for the type 'String'. Try correcting the name to the name of an existing method, or defining a method named 'toStringAsFixed'. - undefined_method
warning - lib\features\owner\team_status\presentation\controllers\team_status_controller.dart:74:38 - Dead code. Try removing the code, or fixing the code before it so that it can be reached. - dead_code
warning - lib\features\owner\team_status\presentation\controllers\team_status_controller.dart:74:41 - The left operand can't be null, so the right operand is never executed. Try removing the operator and the right operand. - dead_null_aware_expression
warning - lib\features\owner\team_status\presentation\controllers\team_status_controller.dart:78:59 - Dead code. Try removing the code, or fixing the code before it so that it can be reached. - dead_code
warning - lib\features\owner\team_status\presentation\controllers\team_status_controller.dart:78:62 - The left operand can't be null, so the right operand is never executed. Try removing the operator and the right operand. - dead_null_aware_expression
warning - lib\features\owner\team_status\presentation\controllers\team_status_controller.dart:131:33 - Dead code. Try removing the code, or fixing the code before it so that it can be reached. - dead_code
warning - lib\features\owner\team_status\presentation\controllers\team_status_controller.dart:131:36 - The left operand can't be null, so the right operand is never executed. Try removing the operator and the right operand. - dead_null_aware_expression

10 issues found.
